Country,Data Source,Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)
India,Data source,All types,,,2.56,2.46,2.17,1.82,1.53,1.36,1.22,1.45,1.98,1.79,1.79,1.82
India,Data source,Beer,,,0.17,0.17,0.15,0.14,0.13,0.11,0.02,0.02,0.02,0.02,0.02,0.03
India,Data source,Wine,,,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00
India,Data source,Spirits,,,2.39,2.29,2.02,1.68,1.39,1.23,1.20,1.43,1.96,1.77,1.77,1.79
India,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Indonesia,Data source,All types,,,,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.06,0.06
Indonesia,Data source,Beer,,,,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.06,0.06
Indonesia,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Indonesia,Data source,Spirits,,,,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Indonesia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iran (Islamic Republic of),Data source,All types,,,,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.00
Iran (Islamic Republic of),Data source,Beer,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iran (Islamic Republic of),Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iran (Islamic Republic of),Data source,Spirits,,,,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00
Iran (Islamic Republic of),Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iraq,Data source,All types,,,,0.20,0.19,0.17,0.14,0.03,0.18,0.31,0.07,0.15,0.15,0.17
Iraq,Data source,Beer,,,,0.15,0.15,0.13,0.11,0.00,0.14,0.29,0.06,0.14,0.15,0.17
Iraq,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Iraq,Data source,Spirits,,,,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.00,0.00
Iraq,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ireland,Data source,All types,,11.75,11.97,12.78,11.27,12.42,13.37,13.38,13.42,14.25,12.66,13.53,13.28,13.29
Ireland,Data source,Beer,,6.05,6.19,6.73,5.76,6.18,6.63,6.84,7.04,8.49,8.00,8.37,8.57,8.72
Ireland,Data source,Wine,,2.73,2.81,2.93,2.65,2.86,3.00,2.87,2.75,2.09,2.12,1.98,1.65,1.51
Ireland,Data source,Spirits,,2.14,2.11,2.19,1.99,2.45,2.68,2.57,2.55,2.38,1.83,2.30,2.22,2.22
Ireland,Data source,Other alcoholic beverages,,0.83,0.87,0.93,0.87,0.93,1.06,1.10,1.08,1.29,0.70,0.88,0.84,0.85
Israel,Data source,All types,,,2.64,2.68,2.54,2.40,2.32,2.18,2.35,2.22,2.35,2.53,2.59,2.67
Israel,Data source,Beer,,,1.19,1.18,1.07,1.03,0.97,0.78,0.86,0.75,0.87,1.02,1.17,1.26
Israel,Data source,Wine,,,0.16,0.17,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.22,0.19,0.25
Israel,Data source,Spirits,,,1.27,1.33,1.30,1.21,1.19,1.23,1.32,1.31,1.32,1.29,1.22,1.16
Israel,Data source,Other alcoholic beverages,,,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Italy,Data source,All types,,,,6.10,6.40,6.84,7.19,7.26,7.41,8.32,8.59,8.59,9.12,9.26
Italy,Data source,Beer,,,,1.40,1.40,1.47,1.55,1.51,1.48,1.72,1.75,1.64,1.68,1.64
Italy,Data source,Wine,,,,4.00,4.30,4.65,4.92,4.89,5.03,6.18,6.47,6.53,6.92,7.06
Italy,Data source,Spirits,,,,0.70,0.70,0.72,0.72,0.85,0.90,0.42,0.37,0.42,0.51,0.56
Italy,Data source,Other alcoholic beverages,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Jamaica,Data source,All types,,,3.40,3.43,3.23,3.42,3.55,3.54,3.52,3.59,3.39,3.67,3.79,3.56
Jamaica,Data source,Beer,,,1.32,1.44,1.39,1.63,1.66,1.57,1.51,1.56,1.55,1.75,1.82,1.65
Jamaica,Data source,Wine,,,0.13,0.17,0.14,0.14,0.18,0.15,0.11,0.14,0.09,0.12,0.12,0.10
Jamaica,Data source,Spirits,,,1.95,1.76,1.63,1.57,1.64,1.73,1.81,1.80,1.66,1.71,1.76,1.72
Jamaica,Data source,Other alcoholic beverages,,,0.00,0.06,0.07,0.08,0.08,0.09,0.08,0.09,0.08,0.09,0.09,0.10
Japan,Data source,All types,,,8.07,6.89,6.99,7.09,7.29,7.49,7.99,7.70,7.83,7.87,8.03,7.97
Japan,Data source,Beer,,,1.20,1.32,1.38,1.47,1.63,1.67,1.72,1.75,1.81,1.97,2.21,2.50
Japan,Data source,Wine,,,0.31,0.28,0.26,0.26,0.25,0.26,0.29,0.31,0.27,0.28,0.28,0.29
Japan,Data source,Spirits,,,3.74,3.58,3.54,3.35,3.41,3.37,3.37,3.42,3.34,3.14,3.05,2.94
Japan,Data source,Other alcoholic beverages,,,2.81,1.70,1.82,2.01,2.00,2.19,2.61,2.22,2.42,2.48,2.48,2.23
Jordan,Data source,All types,,,0.57,0.52,0.57,0.58,0.57,0.56,0.52,0.52,0.44,0.46,0.54,0.49
Jordan,Data source,Beer,,,0.18,0.12,0.18,0.18,0.17,0.17,0.15,0.14,0.05,0.07,0.15,0.07
Jordan,Data source,Wine,,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01
Jordan,Data source,Spirits,,,0.37,0.40,0.38,0.39,0.38,0.38,0.35,0.37,0.37,0.38,0.39,0.41
Jordan,Data source,Other alcoholic beverages,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Kazakhstan,Data source,All types,,,6.41,6.58,6.32,7.43,7.26,6.90,6.68,6.34,6.27,5.86,5.61,5.85
Kazakhstan,Data source,Beer,,,1.90,2.09,1.83,2.85,2.56,2.19,1.90,1.50,1.31,1.14,0.97,0.82
Kazakhstan,Data source,Wine,,,0.28,0.20,0.20,0.19,0.25,0.27,0.32,0.30,0.38,0.30,0.18,0.35
Kazakhstan,Data source,Spirits,,,4.22,4.28,4.29,4.38,4.45,4.44,4.47,4.54,4.58,4.43,4.46,4.68
Kazakhstan,Data source,Other alcoholic beverages,,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kenya,,Beer,,,,,,,,,,,,,,0.70
Kenya,Data source,All types,,,,1.73,1.93,1.73,1.82,1.82,1.82,1.43,1.54,1.71,1.68,1.56
Kenya,Data source,Beer,,,,0.97,1.05,1.06,0.95,0.81,0.84,0.65,0.61,0.71,0.72,0.70
Kenya,Data source,Wine,,,,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.01
Kenya,Data source,Spirits,,,,0.37,0.40,0.44,0.43,0.45,0.46,0.49,0.47,0.53,0.54,0.53
Kenya,Data source,Other alcoholic beverages,,,,0.35,0.45,0.21,0.41,0.54,0.50,0.28,0.45,0.45,0.40,0.32
Kiribati,Data source,All types,,,,,0.90,1.05,1.12,1.03,0.60,0.48,0.50,0.49,0.60,0.46
Kiribati,Data source,Beer,,,,,0.33,0.34,0.40,0.50,0.56,0.43,0.40,0.45,0.42,0.39
Kiribati,Data source,Wine,,,,,0.02,0.02,0.16,0.10,0.01,0.00,0.00,0.00,0.01,0.02
Kiribati,Data source,Spirits,,,,,0.55,0.68,0.56,0.42,0.02,0.03,0.02,0.04,0.17,0.05
Kiribati,Data source,Other alcoholic beverages,,,,,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
Kuwait,Data source,All types,,,,0.03,0.03,0.03,0.03,0.01,0.01,0.02,0.03,0.01,0.01,0.01
Kuwait,Data source,Beer,,,,0.02,0.02,0.02,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00
Kuwait,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
Kuwait,Data source,Spirits,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Kuwait,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kyrgyzstan,Data source,All types,,,,,2.38,2.42,2.67,2.41,2.74,3.30,3.49,3.38,2.73,2.16
Kyrgyzstan,Data source,Beer,,,,,0.54,0.61,0.73,0.59,0.61,0.55,0.35,0.26,0.25,0.26
Kyrgyzstan,Data source,Wine,,,,,0.10,0.09,0.10,0.10,0.09,0.11,0.13,0.15,0.18,0.11
Kyrgyzstan,Data source,Spirits,,,,,1.73,1.71,1.83,1.70,2.01,2.61,2.96,2.90,2.23,1.76
Kyrgyzstan,Data source,Other alcoholic beverages,,,,,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.06,0.07,0.04
Lao People's Democratic Republic,Data source,All types,,,,6.38,6.14,6.08,5.84,5.72,5.77,5.69,5.64,5.56,5.41,5.41
Lao People's Democratic Republic,Data source,Beer,,,,2.43,2.19,2.05,1.76,1.51,1.42,1.24,1.13,1.04,0.96,0.87
Lao People's Democratic Republic,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02
Lao People's Democratic Republic,Data source,Spirits,,,,3.95,3.95,4.02,4.07,4.22,4.35,4.45,4.51,4.52,4.44,4.52
Lao People's Democratic Republic,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Latvia,Data source,All types,,10.21,10.18,9.75,9.85,11.84,12.12,10.40,9.92,8.81,8.24,7.44,6.68,7.13
Latvia,Data source,Beer,,4.67,4.89,4.57,4.35,4.12,4.15,4.09,3.80,3.69,2.97,2.74,2.12,1.97
Latvia,Data source,Wine,,1.16,1.13,1.04,1.03,1.13,1.18,1.06,0.94,0.95,1.78,1.50,1.38,1.60
Latvia,Data source,Spirits,,3.77,3.59,3.61,3.94,5.80,5.91,4.48,4.57,3.74,3.33,3.04,3.04,3.45
Latvia,Data source,Other alcoholic beverages,,0.60,0.56,0.52,0.53,0.79,0.88,0.78,0.60,0.43,0.16,0.16,0.14,0.11
Lebanon,Data source,All types,,,1.95,1.96,1.96,1.83,1.75,1.72,1.74,1.83,1.85,1.87,2.04,2.06
Lebanon,Data source,Beer,,,0.40,0.36,0.41,0.40,0.40,0.39,0.41,0.44,0.42,0.40,0.40,0.39
Lebanon,Data source,Wine,,,0.53,0.57,0.57,0.52,0.51,0.53,0.55,0.56,0.58,0.59,0.65,0.68
Lebanon,Data source,Spirits,,,1.02,1.02,0.98,0.90,0.83,0.79,0.77,0.82,0.84,0.87,0.99,0.99
Lebanon,Data source,Other alcoholic beverages,,,0.00,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00
Lesotho,Data source,All types,,,,2.92,2.75,2.74,2.66,2.58,2.65,1.78,1.97,2.92,2.84,3.10
Lesotho,Data source,Beer,,,,1.50,1.33,1.35,1.28,1.21,1.24,1.29,1.35,1.45,1.55,1.54
Lesotho,Data source,Wine,,,,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.04
Lesotho,Data source,Spirits,,,,0.55,0.55,0.56,0.55,0.54,0.53,0.00,0.00,0.35,0.36,0.37
Lesotho,Data source,Other alcoholic beverages,,,,0.86,0.86,0.83,0.83,0.82,0.88,0.49,0.62,1.12,0.89,1.15
Liberia,Data source,All types,,,,3.07,3.05,3.18,3.32,3.34,3.47,3.49,3.44,3.47,3.57,3.61
Liberia,Data source,Beer,,,,0.33,0.33,0.34,0.34,0.31,0.30,0.26,0.15,0.15,0.17,0.17
Liberia,Data source,Wine,,,,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liberia,Data source,Spirits,,,,2.71,2.71,2.83,2.96,3.03,3.16,3.23,3.29,3.32,3.40,3.44
Liberia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00
Libya,Data source,All types,,,,,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.01,0.00,0.01
Libya,Data source,Beer,,,,,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Libya,Data source,Wine,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Libya,Data source,Spirits,,,,,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01
Libya,Data source,Other alcoholic beverages,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lithuania,Data source,All types,14.30,14.42,12.66,12.90,12.40,13.30,13.40,12.70,12.30,12.10,11.29,11.00,10.20,9.87
Lithuania,Data source,Beer,5.27,5.58,5.43,6.00,5.40,5.40,5.60,6.00,5.80,4.62,4.58,4.66,4.00,3.78
Lithuania,Data source,Wine,1.03,1.03,1.04,1.00,0.90,0.90,0.90,1.40,1.40,2.37,2.24,2.06,1.89,2.10
Lithuania,Data source,Spirits,5.74,5.61,4.21,4.40,4.60,5.50,5.30,4.50,4.50,4.31,3.71,3.59,3.67,3.30
Lithuania,Data source,Other alcoholic beverages,2.26,2.20,1.97,1.50,1.50,1.50,1.60,0.80,0.60,0.79,0.76,0.69,0.64,0.69
Luxembourg,Data source,All types,,11.28,11.39,11.36,11.42,11.53,11.75,11.98,11.84,12.42,12.61,12.91,12.89,13.14
Luxembourg,Data source,Beer,,3.96,3.97,4.11,4.17,4.17,4.29,4.46,4.36,4.27,4.36,4.46,4.43,4.62
Luxembourg,Data source,Wine,,5.04,5.09,4.86,4.86,4.92,5.07,5.06,5.07,5.58,5.75,5.86,5.81,5.88
Luxembourg,Data source,Spirits,,2.28,2.33,2.39,2.39,2.44,2.40,2.46,2.41,2.58,2.50,2.59,2.66,2.64
Luxembourg,Data source,Other alcoholic beverages,,0.00,0.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Madagascar,Data source,All types,,,,0.92,0.81,0.59,0.62,0.59,0.63,0.78,0.81,0.78,1.03,1.14
Madagascar,Data source,Beer,,,,0.52,0.39,0.36,0.37,0.33,0.33,0.34,0.37,0.27,0.39,0.38
Madagascar,Data source,Wine,,,,0.09,0.10,0.10,0.10,0.10,0.07,0.11,0.11,0.11,0.12,0.12
Madagascar,Data source,Spirits,,,,0.32,0.33,0.13,0.15,0.16,0.23,0.32,0.33,0.40,0.52,0.64
Madagascar,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malawi,Data source,All types,,,,1.44,1.44,1.57,1.61,1.62,1.22,1.30,1.34,1.30,1.29,1.32
Malawi,Data source,Beer,,,,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.16
Malawi,Data source,Wine,,,,0.02,0.02,0.15,0.00,0.01,0.01,0.01,0.02,0.01,0.01,0.00
Malawi,Data source,Spirits,,,,0.19,0.19,0.12,0.19,0.22,0.22,0.28,0.24,0.25,0.27,0.28
Malawi,Data source,Other alcoholic beverages,,,,1.10,1.10,1.17,1.28,1.26,0.86,0.87,0.94,0.89,0.86,0.88
Malaysia,Data source,All types,,,0.51,0.48,0.45,0.47,0.43,0.43,0.46,0.49,0.49,0.49,0.53,0.55
Malaysia,Data source,Beer,,,0.37,0.37,0.34,0.37,0.33,0.34,0.38,0.41,0.41,0.41,0.41,0.45
Malaysia,Data source,Wine,,,0.01,0.01,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.04,0.02
Malaysia,Data source,Spirits,,,0.12,0.11,0.10,0.10,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Malaysia,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maldives,Data source,All types,,,,,1.49,1.55,1.49,1.25,1.02,1.31,1.48,1.37,1.36,1.52
Maldives,Data source,Beer,,,,,0.44,0.47,0.50,0.47,0.33,0.48,0.42,0.38,0.39,0.45
Maldives,Data source,Wine,,,,,0.42,0.46,0.44,0.35,0.27,0.33,0.32,0.18,0.14,0.04
Maldives,Data source,Spirits,,,,,0.63,0.61,0.55,0.51,0.41,0.47,0.73,0.81,0.79,1.03
Maldives,Data source,Other alcoholic beverages,,,,,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
Mali,Data source,All types,,,,0.62,0.62,0.60,0.58,0.56,0.53,0.54,0.53,0.56,0.58,0.53
Mali,Data source,Beer,,,,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Mali,Data source,Wine,,,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.02,0.01
Mali,Data source,Spirits,,,,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00
Mali,Data source,Other alcoholic beverages,,,,0.52,0.52,0.50,0.49,0.48,0.45,0.46,0.44,0.43,0.47,0.45
Malta,Data source,All types,,,7.76,7.62,7.24,7.76,7.60,6.73,6.26,6.34,6.32,5.89,5.76,5.77
Malta,Data source,Beer,,,3.42,3.00,2.80,2.75,2.45,2.22,1.76,1.92,1.90,2.71,2.82,2.94
Malta,Data source,Wine,,,2.13,2.49,2.50,3.06,3.12,2.50,2.53,2.56,2.59,1.32,1.15,0.96
Malta,Data source,Spirits,,,2.13,2.08,1.89,1.90,1.98,1.96,1.92,1.83,1.79,1.82,1.78,1.85
Malta,Data source,Other alcoholic beverages,,,0.08,0.05,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.02,0.02
Marshall Islands,,All types,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
Marshall Islands,,Beer,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands,,Wine,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands,,Spirits,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands,,Other alcoholic beverages,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands,Data source,All types,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands,Data source,Beer,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands,Data source,Wine,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands,Data source,Spirits,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Marshall Islands,Data source,Other alcoholic beverages,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Mauritania,Data source,All types,,,,,0.00,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.03
Mauritania,Data source,Beer,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritania,Data source,Wine,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Mauritania,Data source,Spirits,,,,,0.00,0.02,0.02,0.01,0.01,0.01,0.00,0.01,0.01,0.02
Mauritania,Data source,Other alcoholic beverages,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritius,Data source,All types,,,,2.64,2.79,2.46,2.75,2.60,2.80,2.80,2.72,2.78,2.79,3.24
Mauritius,Data source,Beer,,,,1.75,1.95,1.55,1.74,1.77,1.92,1.95,1.98,1.91,2.14,2.21
Mauritius,Data source,Wine,,,,0.32,0.27,0.36,0.32,0.30,0.32,0.30,0.28,0.42,0.26,0.29
Mauritius,Data source,Spirits,,,,0.56,0.56,0.55,0.68,0.52,0.56,0.55,0.47,0.45,0.39,0.74
Mauritius,Data source,Other alcoholic beverages,,,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mexico,Data source,All types,,,5.36,5.37,5.45,5.54,5.53,5.32,5.14,5.07,4.99,4.90,4.99,5.12
Mexico,Data source,Beer,,,4.07,4.07,4.19,4.25,4.25,4.09,3.96,3.85,3.81,3.71,3.75,3.77
Mexico,Data source,Wine,,,0.07,0.08,0.08,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06
Mexico,Data source,Spirits,,,1.20,1.19,1.15,1.18,1.16,1.12,1.07,1.12,1.09,1.10,1.15,1.26
Mexico,Data source,Other alcoholic beverages,,,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Micronesia (Federated States of),,Beer,,,,,,,,,,,,,,2.14
Micronesia (Federated States of),Data source,All types,,,,1.68,2.11,3.11,2.51,2.25,2.98,3.33,3.38,3.01,2.92,2.34
Micronesia (Federated States of),Data source,Beer,,,,0.79,1.09,0.96,0.68,0.67,1.43,1.64,2.98,2.64,2.72,2.14
Micronesia (Federated States of),Data source,Wine,,,,0.24,0.23,1.44,1.09,0.68,1.31,1.55,0.34,0.30,0.13,0.12
Micronesia (Federated States of),Data source,Spirits,,,,0.65,0.79,0.71,0.73,0.90,0.24,0.14,0.06,0.07,0.07,0.07
Micronesia (Federated States of),Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Monaco,,All types,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,
Monaco,,Beer,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Monaco,,Wine,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Monaco,,Spirits,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Monaco,,Other alcoholic beverages,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Monaco,Data source,All types,,,,,,,,,,,,,,No data
Monaco,Data source,Other alcoholic beverages,,,,No data,,,,,,,,,,
Mongolia,Data source,All types,,,,5.80,4.61,4.26,3.79,2.91,2.75,2.01,1.56,2.70,2.86,2.79
Mongolia,Data source,Beer,,,,1.60,1.10,0.90,0.90,0.50,0.30,0.53,0.13,0.51,0.52,0.61
Mongolia,Data source,Wine,,,,0.16,0.11,0.22,0.28,0.15,0.05,0.71,0.70,0.76,0.05,0.08
Mongolia,Data source,Spirits,,,,4.04,3.40,3.14,2.61,2.26,2.40,0.51,0.47,1.15,2.29,2.10
Mongolia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.25,0.27,0.00,0.00
Montenegro,,All types,,,,,,,,,No data,,,,,
Montenegro,,Beer,,,,,,,,,No data,,,,,
Montenegro,,Wine,,,,,,,,,No data,,,,,
Montenegro,,Spirits,,,,,,,,,No data,,,,,
Montenegro,,Other alcoholic beverages,,,,,,,,,No data,,,,,
Montenegro,Data source,All types,,,,6.59,6.58,6.28,5.06,5.34,No data,,,,,
Montenegro,Data source,Beer,,,,0.72,0.72,0.73,0.49,0.02,,,,,,
Montenegro,Data source,Wine,,,,3.09,3.10,2.82,1.90,2.74,,,,,,
Montenegro,Data source,Spirits,,,,2.75,2.73,2.71,2.64,2.56,,,,,,
Montenegro,Data source,Other alcoholic beverages,,,,0.03,0.03,0.02,0.03,0.02,,,,,,
Morocco,Data source,All types,,,0.45,0.45,0.50,0.50,0.49,0.48,0.46,0.47,0.47,0.46,0.46,0.44
Morocco,Data source,Beer,,,0.18,0.20,0.22,0.24,0.22,0.22,0.23,0.22,0.22,0.24,0.23,0.21
Morocco,Data source,Wine,,,0.18,0.17,0.17,0.17,0.19,0.19,0.17,0.19,0.20,0.18,0.18,0.19
Morocco,Data source,Spirits,,,0.09,0.09,0.10,0.10,0.08,0.07,0.06,0.06,0.05,0.05,0.05,0.04
Morocco,Data source,Other alcoholic beverages,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
