Country,Data Source,Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)
Singapore,Data source,All types,1.88,1.92,1.81,1.99,1.85,1.81,1.69,1.63,1.55,1.49,1.45,2.17,2.08,2.03
Singapore,Data source,Beer,1.26,1.36,1.32,1.40,1.31,1.30,1.20,1.20,1.15,1.11,1.08,1.47,1.34,1.29
Singapore,Data source,Wine,0.29,0.28,0.27,0.27,0.25,0.24,0.23,0.21,0.19,0.17,0.16,0.20,0.13,0.12
Singapore,Data source,Spirits,0.30,0.25,0.19,0.29,0.26,0.23,0.23,0.20,0.19,0.18,0.18,0.49,0.61,0.61
Singapore,Data source,Other alcoholic beverages,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.00,0.00,0.00
Slovakia,Data source,All types,10.64,10.76,10.66,10.96,11.23,11.87,11.06,10.89,11.06,10.03,9.85,10.78,10.73,11.06
Slovakia,Data source,Beer,3.39,3.63,3.51,3.30,3.90,3.79,3.93,3.83,3.85,3.99,4.38,4.53,4.32,4.47
Slovakia,Data source,Wine,2.22,2.11,2.23,2.00,2.13,2.01,1.79,2.15,1.56,1.33,1.46,1.59,1.48,1.49
Slovakia,Data source,Spirits,4.44,4.56,4.45,5.06,4.61,5.57,4.88,4.31,5.41,4.23,3.65,4.29,4.56,4.85
Slovakia,Data source,Other alcoholic beverages,0.58,0.47,0.47,0.60,0.60,0.50,0.46,0.60,0.24,0.48,0.36,0.37,0.37,0.25
Slovenia,Data source,All types,,,,10.32,10.52,10.94,11.02,12.26,13.52,12.29,11.46,11.07,10.24,9.90
Slovenia,Data source,Beer,,,,4.59,5.09,5.16,5.70,5.70,4.89,4.46,4.40,4.46,3.82,3.60
Slovenia,Data source,Wine,,,,4.84,4.55,4.58,4.08,5.43,4.25,3.67,3.49,3.17,2.92,3.17
Slovenia,Data source,Spirits,,,,0.89,0.88,1.20,1.24,1.13,4.38,4.16,3.56,3.44,3.50,3.14
Slovenia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Solomon Islands,Data source,All types,,,,1.28,1.21,1.06,0.80,0.99,0.90,1.18,1.18,1.08,0.94,0.94
Solomon Islands,Data source,Beer,,,,1.04,0.97,1.00,0.72,0.93,0.66,0.75,0.74,0.58,0.68,0.85
Solomon Islands,Data source,Wine,,,,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.02
Solomon Islands,Data source,Spirits,,,,0.21,0.21,0.04,0.05,0.03,0.21,0.41,0.43,0.48,0.24,0.07
Solomon Islands,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,All types,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,Beer,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,Spirits,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,Data source,All types,,8.09,8.00,7.77,8.06,8.63,8.85,8.79,8.91,6.96,6.93,7.04,7.38,7.69
South Africa,Data source,Beer,,4.16,4.20,3.74,3.97,4.17,4.15,3.98,4.04,3.87,3.78,3.72,3.73,3.87
South Africa,Data source,Wine,,1.08,1.08,1.38,1.36,1.45,1.47,1.43,1.44,1.22,1.27,1.46,1.61,1.50
South Africa,Data source,Spirits,,1.31,1.29,1.29,1.30,1.36,1.41,1.38,1.36,1.11,1.11,1.10,1.16,1.14
South Africa,Data source,Other alcoholic beverages,,1.54,1.43,1.35,1.44,1.65,1.83,2.00,2.08,0.76,0.76,0.76,0.88,1.18
Spain,Data source,All types,,,,9.79,9.99,10.24,11.05,11.86,11.92,10.44,10.24,9.87,11.09,11.12
Spain,Data source,Beer,,,,4.87,4.98,4.92,5.09,5.15,4.98,4.50,4.47,4.17,4.43,4.19
Spain,Data source,Wine,,,,1.97,2.09,2.23,2.56,3.20,3.44,3.80,3.74,3.95,3.86,4.12
Spain,Data source,Spirits,,,,2.76,2.73,2.88,3.18,3.28,3.27,1.49,1.38,1.17,2.81,2.81
Spain,Data source,Other alcoholic beverages,,,,0.18,0.19,0.21,0.22,0.23,0.23,0.65,0.64,0.58,0.00,0.00
Sri Lanka,Data source,All types,3.06,3.25,No data,2.31,2.05,2.10,2.29,1.96,1.97,1.60,1.71,1.64,1.70,1.46
Sri Lanka,Data source,Beer,0.38,0.39,No data,0.30,0.20,0.20,0.20,0.20,0.30,0.17,0.15,0.15,0.10,0.10
Sri Lanka,Data source,Wine,0.04,0.04,No data,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01
Sri Lanka,Data source,Spirits,2.54,2.75,No data,1.97,1.81,1.86,2.05,1.72,1.63,1.42,1.55,1.48,1.60,1.35
Sri Lanka,Data source,Other alcoholic beverages,0.09,0.07,No data,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00
Sudan,Data source,All types,,,,1.73,1.63,1.65,1.65,1.56,1.55,1.59,1.74,1.59,1.81,1.76
Sudan,Data source,Beer,,,,0.14,0.07,0.10,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Sudan,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sudan,Data source,Spirits,,,,0.23,0.22,0.21,0.24,0.24,0.27,0.27,0.31,0.35,0.27,0.26
Sudan,Data source,Other alcoholic beverages,,,,1.36,1.34,1.33,1.34,1.31,1.28,1.32,1.43,1.24,1.54,1.50
Suriname,Data source,All types,,,5.76,5.70,5.67,5.52,5.27,5.05,4.96,5.05,4.95,4.82,4.62,4.68
Suriname,Data source,Beer,,,2.01,2.28,2.23,2.12,1.90,1.82,1.68,1.80,1.81,1.83,1.88,1.82
Suriname,Data source,Wine,,,0.16,0.13,0.32,0.25,0.18,0.11,0.13,0.08,0.10,0.09,0.08,0.05
Suriname,Data source,Spirits,,,3.59,3.26,3.10,3.12,3.17,3.09,3.13,3.16,3.04,2.89,2.66,2.80
Suriname,Data source,Other alcoholic beverages,,,0.00,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02
Swaziland,Data source,All types,,,,5.05,4.94,4.82,5.40,5.33,4.99,5.70,5.57,5.46,6.67,7.15
Swaziland,Data source,Beer,,,,1.70,1.59,1.47,1.53,1.57,1.64,1.56,1.58,1.53,1.53,1.78
Swaziland,Data source,Wine,,,,0.04,0.04,0.02,0.04,0.01,0.02,0.02,0.05,0.16,0.26,0.61
Swaziland,Data source,Spirits,,,,0.03,0.03,0.02,0.39,0.48,0.15,0.89,0.42,0.03,0.46,0.08
Swaziland,Data source,Other alcoholic beverages,,,,3.28,3.28,3.31,3.43,3.27,3.19,3.22,3.52,3.74,4.43,4.68
Sweden,Data source,All types,,,7.40,7.30,7.30,6.90,6.90,6.50,6.50,6.60,6.90,6.90,6.60,6.20
Sweden,Data source,Beer,,,2.70,2.70,2.70,2.60,2.60,2.50,2.60,2.60,2.80,2.70,2.70,2.70
Sweden,Data source,Wine,,,3.60,3.40,3.30,3.10,3.10,2.90,2.90,2.80,2.90,2.80,2.50,2.20
Sweden,Data source,Spirits,,,1.10,1.10,1.20,1.10,1.10,1.00,1.00,1.20,1.20,1.40,1.40,1.30
Sweden,Data source,Other alcoholic beverages,,,0.00,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00
Switzerland,Data source,All types,9.66,9.79,9.92,10.04,10.19,10.34,10.50,10.29,10.21,10.59,10.86,10.88,11.14,11.28
Switzerland,Data source,Beer,3.14,3.15,3.15,3.19,3.32,3.33,3.34,3.23,3.12,3.25,3.38,3.26,3.39,3.40
Switzerland,Data source,Wine,4.65,4.66,4.78,4.96,4.86,4.99,5.13,5.03,5.16,5.30,5.43,5.56,5.69,5.82
Switzerland,Data source,Spirits,1.74,1.86,1.87,1.77,1.90,1.90,1.91,1.92,1.80,1.93,1.93,1.93,1.94,1.94
Switzerland,Data source,Other alcoholic beverages,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
Syrian Arab Republic,Data source,All types,,,,0.98,0.97,0.97,0.95,1.06,1.07,1.14,1.24,1.21,1.27,1.40
Syrian Arab Republic,Data source,Beer,,,,0.08,0.07,0.11,0.08,0.07,0.06,0.08,0.04,0.05,0.06,0.05
Syrian Arab Republic,Data source,Wine,,,,0.27,0.27,0.21,0.21,0.33,0.32,0.32,0.42,0.34,0.33,0.47
Syrian Arab Republic,Data source,Spirits,,,,0.62,0.63,0.65,0.65,0.66,0.69,0.74,0.78,0.82,0.88,0.88
Syrian Arab Republic,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tajikistan,Data source,All types,,,,,0.32,0.34,0.37,0.39,0.39,0.39,0.38,0.61,0.87,0.37
Tajikistan,Data source,Beer,,,,,0.03,0.04,0.08,0.10,0.08,0.03,0.01,0.02,0.01,0.01
Tajikistan,Data source,Wine,,,,,0.00,0.00,0.01,0.00,0.02,0.05,0.08,0.20,0.18,0.12
Tajikistan,Data source,Spirits,,,,,0.28,0.29,0.29,0.29,0.29,0.31,0.28,0.39,0.67,0.24
Tajikistan,Data source,Other alcoholic beverages,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Thailand,Data source,All types,,,5.99,6.16,6.08,6.90,6.83,6.70,6.42,5.80,5.95,5.72,5.75,5.40
Thailand,Data source,Beer,,,1.53,1.66,1.72,2.35,2.28,2.15,1.87,1.53,1.51,1.20,1.16,1.09
Thailand,Data source,Wine,,,0.02,0.03,0.02,0.05,0.05,0.05,0.05,0.04,0.03,0.03,0.01,0.02
Thailand,Data source,Spirits,,,4.44,4.47,4.34,4.50,4.50,4.50,4.50,4.23,4.41,4.50,4.58,4.29
Thailand,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
The former Yugoslav republic of Macedonia,Data source,All types,,,,,3.96,3.74,3.54,3.37,3.95,5.60,5.42,3.81,4.47,5.03
The former Yugoslav republic of Macedonia,Data source,Beer,,,,,1.87,2.03,1.76,1.88,1.97,2.01,1.93,1.84,1.83,1.95
The former Yugoslav republic of Macedonia,Data source,Wine,,,,,1.58,1.27,1.05,1.10,1.60,1.59,1.52,0.78,1.01,1.04
The former Yugoslav republic of Macedonia,Data source,Spirits,,,,,0.50,0.44,0.72,0.39,0.38,2.00,1.97,1.19,1.63,2.04
The former Yugoslav republic of Macedonia,Data source,Other alcoholic beverages,,,,,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Timor-Leste,Data source,All types,,,,,0.08,0.05,0.04,0.03,0.31,0.35,0.41,0.47,0.50,0.52
Timor-Leste,Data source,Beer,,,,,0.01,0.01,0.00,0.01,0.30,0.32,0.35,0.40,0.42,0.44
Timor-Leste,Data source,Wine,,,,,0.06,0.04,0.03,0.02,0.01,0.02,0.03,0.03,0.03,0.03
Timor-Leste,Data source,Spirits,,,,,0.01,0.01,0.01,0.01,0.00,0.01,0.04,0.04,0.05,0.05
Timor-Leste,Data source,Other alcoholic beverages,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Togo,Data source,All types,,,,1.13,1.12,1.67,1.26,1.33,1.09,0.97,0.97,0.96,0.91,1.05
Togo,Data source,Beer,,,,0.55,0.60,0.59,0.53,0.45,0.43,0.42,0.42,0.40,0.39,0.41
Togo,Data source,Wine,,,,0.31,0.25,0.33,0.39,0.42,0.32,0.33,0.26,0.21,0.20,0.10
Togo,Data source,Spirits,,,,0.03,0.03,0.49,0.06,0.17,0.06,0.04,0.02,0.04,0.06,0.24
Togo,Data source,Other alcoholic beverages,,,,0.25,0.25,0.26,0.29,0.29,0.28,0.18,0.27,0.31,0.26,0.30
Tonga,Data source,All types,,,,1.05,1.10,1.10,2.08,1.80,1.58,1.80,1.79,1.51,1.59,1.57
Tonga,Data source,Beer,,,,0.61,0.62,0.62,0.87,0.88,0.89,0.89,0.90,0.90,0.90,0.99
Tonga,Data source,Wine,,,,0.08,0.12,0.11,0.16,0.09,0.27,0.30,0.22,0.08,0.10,0.12
Tonga,Data source,Spirits,,,,0.36,0.36,0.36,1.02,0.83,0.41,0.43,0.55,0.51,0.59,0.46
Tonga,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.03,0.00,0.00,0.18,0.13,0.02,0.00,0.00
Trinidad and Tobago,Data source,All types,,,6.35,6.44,6.32,6.40,6.34,6.37,6.07,5.78,5.43,5.03,4.47,4.62
Trinidad and Tobago,Data source,Beer,,,3.41,3.48,3.28,3.22,3.15,3.16,3.10,2.91,2.73,2.49,2.02,2.10
Trinidad and Tobago,Data source,Wine,,,0.13,0.13,0.12,0.20,0.14,0.17,0.13,0.13,0.11,0.07,0.06,0.09
Trinidad and Tobago,Data source,Spirits,,,2.80,2.82,2.89,2.95,3.01,3.01,2.81,2.72,2.57,2.45,2.38,2.43
Trinidad and Tobago,Data source,Other alcoholic beverages,,,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01
Tunisia,Data source,All types,,,1.21,1.26,1.34,1.28,1.30,1.32,1.23,1.22,1.10,1.17,1.19,1.22
Tunisia,Data source,Beer,,,0.80,0.86,0.95,0.93,0.92,0.88,0.85,0.82,0.70,0.79,0.76,0.80
Tunisia,Data source,Wine,,,0.37,0.35,0.35,0.31,0.33,0.39,0.34,0.35,0.36,0.35,0.39,0.38
Tunisia,Data source,Spirits,,,0.00,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04
Tunisia,Data source,Other alcoholic beverages,,,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkey,Data source,All types,,1.51,1.50,1.49,1.40,1.39,1.26,1.29,1.29,1.35,1.42,1.47,1.48,1.54
Turkey,Data source,Beer,,0.88,0.83,0.86,0.84,0.85,0.79,0.76,0.77,0.81,0.79,0.77,0.74,0.76
Turkey,Data source,Wine,,0.12,0.13,0.13,0.10,0.08,0.05,0.05,0.06,0.07,0.04,0.04,0.05,0.05
Turkey,Data source,Spirits,,0.50,0.54,0.50,0.47,0.46,0.42,0.47,0.46,0.47,0.59,0.66,0.69,0.73
Turkey,Data source,Other alcoholic beverages,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkmenistan,Data source,All types,,,2.42,2.17,2.05,2.23,2.32,2.33,2.33,2.32,2.34,2.30,2.34,2.90
Turkmenistan,Data source,Beer,,,0.43,0.34,0.24,0.21,0.29,0.26,0.22,0.18,0.17,0.09,0.08,0.08
Turkmenistan,Data source,Wine,,,0.73,0.57,0.57,0.83,0.84,0.87,0.90,0.92,0.94,0.97,0.98,1.52
Turkmenistan,Data source,Spirits,,,1.26,1.27,1.23,1.19,1.19,1.20,1.22,1.22,1.23,1.25,1.27,1.30
Turkmenistan,Data source,Other alcoholic beverages,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tuvalu,Data source,All types,,,,,,1.00,0.55,1.27,0.94,1.83,1.42,0.54,1.98,1.15
Tuvalu,Data source,Beer,,,,,,0.10,0.03,0.79,0.54,0.04,0.10,0.29,1.07,0.85
Tuvalu,Data source,Wine,,,,,,0.15,0.07,0.14,0.17,0.04,0.07,0.13,0.18,0.06
Tuvalu,Data source,Spirits,,,,,,0.74,0.46,0.34,0.23,1.75,1.24,0.12,0.73,0.25
Tuvalu,Data source,Other alcoholic beverages,,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data
Uganda,Data source,All types,,,,8.33,8.18,8.36,8.53,8.68,8.25,8.99,9.32,9.74,9.92,10.26
Uganda,Data source,Beer,,,,0.78,0.63,0.52,0.56,0.54,0.49,0.42,0.42,0.43,0.48,0.55
Uganda,Data source,Wine,,,,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
Uganda,Data source,Spirits,,,,0.16,0.16,0.16,0.17,0.18,0.18,0.20,0.18,0.19,0.19,0.20
Uganda,Data source,Other alcoholic beverages,,,,7.38,7.38,7.67,7.79,7.96,7.57,8.36,8.72,9.12,9.24,9.51
Ukraine,Data source,All types,,,,8.44,8.75,9.50,8.90,8.01,7.32,7.02,5.93,4.90,4.32,4.50
Ukraine,Data source,Beer,,,,3.41,3.36,3.61,3.59,3.03,2.69,2.41,1.96,1.75,1.52,1.29
Ukraine,Data source,Wine,,,,0.76,0.86,0.83,0.77,0.68,0.63,0.55,0.68,0.70,0.47,0.36
Ukraine,Data source,Spirits,,,,4.05,4.30,4.79,4.31,4.09,3.83,4.06,3.29,2.45,2.33,2.85
Ukraine,Data source,Other alcoholic beverages,,,,0.22,0.23,0.27,0.22,0.21,0.18,0.00,0.00,0.00,0.00,0.00
United Arab Emirates,Data source,All types,,,4.56,4.54,4.35,4.14,3.51,3.18,2.98,2.30,2.21,2.14,2.15,2.18
United Arab Emirates,Data source,Beer,,,0.75,0.75,0.76,0.83,0.83,0.82,0.87,0.89,0.92,0.94,0.94,0.97
United Arab Emirates,Data source,Wine,,,0.21,0.21,0.20,0.20,0.18,0.16,0.15,0.15,0.12,0.12,0.12,0.12
United Arab Emirates,Data source,Spirits,,,3.40,3.37,3.19,2.90,2.32,2.04,1.80,1.11,1.05,0.97,0.98,0.97
United Arab Emirates,Data source,Other alcoholic beverages,,,0.21,0.21,0.20,0.20,0.18,0.16,0.15,0.15,0.12,0.12,0.12,0.12
United Kingdom of Great Britain and Northern Ireland,Data source,All types,,9.65,10.25,10.50,10.76,10.65,11.47,11.34,11.48,11.73,11.61,11.39,11.04,10.51
United Kingdom of Great Britain and Northern Ireland,Data source,Beer,,3.34,3.69,3.84,3.91,4.16,4.48,4.75,4.93,5.13,5.31,5.24,5.17,5.01
United Kingdom of Great Britain and Northern Ireland,Data source,Wine,,3.32,3.43,3.44,3.53,3.45,3.75,3.43,3.47,3.44,3.14,3.09,3.17,2.86
United Kingdom of Great Britain and Northern Ireland,Data source,Spirits,,2.13,2.21,2.27,2.32,2.20,2.40,2.35,2.41,2.52,2.53,2.44,2.07,2.00
United Kingdom of Great Britain and Northern Ireland,Data source,Other alcoholic beverages,,0.86,0.92,0.95,1.00,0.84,0.84,0.81,0.67,0.64,0.63,0.62,0.63,0.64
United Republic of Tanzania,Data source,All types,,,,6.20,6.00,4.96,6.50,6.37,5.27,5.23,3.75,5.22,5.37,5.22
United Republic of Tanzania,Data source,Beer,,,,0.68,0.70,0.77,0.78,0.65,0.57,0.51,0.50,0.46,0.49,0.51
United Republic of Tanzania,Data source,Wine,,,,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00
United Republic of Tanzania,Data source,Spirits,,,,0.11,0.25,0.21,0.18,0.18,0.15,0.12,0.09,0.11,0.09,0.10
United Republic of Tanzania,Data source,Other alcoholic beverages,,,,5.39,5.03,3.97,5.52,5.52,4.55,4.59,3.16,4.64,4.78,4.61
United States of America,Data source,All types,,8.82,8.63,8.55,8.67,8.74,8.74,8.63,8.52,8.48,8.40,8.36,8.25,8.21
United States of America,Data source,Beer,,4.28,4.24,4.28,4.43,4.54,4.54,4.54,4.50,4.58,4.58,4.66,4.66,4.62
United States of America,Data source,Wine,,1.59,1.51,1.48,1.44,1.44,1.44,1.40,1.36,1.32,1.29,1.25,1.17,1.17
United States of America,Data source,Spirits,,2.95,2.88,2.80,2.80,2.76,2.76,2.69,2.65,2.57,2.54,2.46,2.42,2.42
United States of America,Data source,Other alcoholic beverages,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,0.00
Uruguay,Data source,All types,,,,6.21,6.67,6.76,6.67,6.58,6.35,6.37,5.60,6.14,7.42,7.60
Uruguay,Data source,Beer,,,,1.90,1.88,1.86,1.61,1.49,1.35,1.19,0.91,1.06,1.36,1.50
Uruguay,Data source,Wine,,,,3.72,3.85,3.97,4.15,4.19,4.23,4.03,3.59,3.89,4.70,4.53
Uruguay,Data source,Spirits,,,,0.59,0.94,0.93,0.91,0.90,0.77,1.15,1.10,1.19,1.35,1.55
Uruguay,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Uzbekistan,Data source,All types,,,,,2.54,2.25,2.09,1.92,1.77,1.64,1.52,1.47,1.53,1.62
Uzbekistan,Data source,Beer,,,,,0.46,0.32,0.29,0.32,0.28,0.24,0.24,0.26,0.20,0.25
Uzbekistan,Data source,Wine,,,,,0.16,0.15,0.19,0.18,0.20,0.36,0.34,0.24,0.33,0.39
Uzbekistan,Data source,Spirits,,,,,1.91,1.78,1.61,1.41,1.30,1.04,0.94,0.96,1.00,0.99
Uzbekistan,Data source,Other alcoholic beverages,,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Vanuatu,Data source,All types,,,,0.81,0.83,0.92,0.99,0.85,0.86,0.83,1.18,1.23,0.90,1.30
Vanuatu,Data source,Beer,,,,0.33,0.31,0.32,0.43,0.45,0.46,0.48,0.50,0.51,0.40,0.55
Vanuatu,Data source,Wine,,,,0.19,0.23,0.28,0.17,0.18,0.21,0.16,0.18,0.19,0.16,0.24
Vanuatu,Data source,Spirits,,,,0.30,0.30,0.33,0.38,0.23,0.19,0.19,0.51,0.53,0.34,0.51
Vanuatu,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Venezuela (Bolivarian Republic of),Data source,All types,,,6.54,7.17,7.58,8.21,8.74,8.26,7.91,7.55,6.30,6.89,8.04,8.03
Venezuela (Bolivarian Republic of),Data source,Beer,,,4.92,5.43,5.76,6.34,6.83,6.35,6.15,5.93,4.39,5.15,6.00,5.60
Venezuela (Bolivarian Republic of),Data source,Wine,,,0.02,0.06,0.10,0.13,0.15,0.14,0.11,0.07,0.04,0.06,0.11,0.11
Venezuela (Bolivarian Republic of),Data source,Spirits,,,1.58,1.68,1.71,1.74,1.75,1.76,1.65,1.55,1.87,1.68,1.94,2.32
Venezuela (Bolivarian Republic of),Data source,Other alcoholic beverages,,,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Viet Nam,Data source,All types,,,2.41,2.21,1.97,1.75,1.55,1.40,1.26,1.18,0.99,0.81,0.75,0.70
Viet Nam,Data source,Beer,,,2.28,2.15,1.91,1.70,1.50,1.36,1.23,1.15,0.97,0.79,0.73,0.68
Viet Nam,Data source,Wine,,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00
Viet Nam,Data source,Spirits,,,0.11,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02
Viet Nam,Data source,Other alcoholic beverages,,,0.00,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Yemen,Data source,All types,,,,0.05,0.03,0.04,0.05,0.04,0.04,0.06,0.04,0.07,0.08,0.07
Yemen,Data source,Beer,,,,0.05,0.03,0.04,0.04,0.04,0.03,0.05,0.04,0.06,0.08,0.07
Yemen,Data source,Wine,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Yemen,Data source,Spirits,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00
Yemen,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zambia,Data source,All types,,,,2.75,2.58,2.26,2.19,2.51,2.33,2.45,2.32,2.42,2.59,2.60
Zambia,Data source,Beer,,,,0.62,0.48,0.48,0.45,0.45,0.42,0.47,0.46,0.47,0.50,0.49
Zambia,Data source,Wine,,,,0.08,0.06,0.04,0.04,0.02,0.01,0.03,0.01,0.02,0.02,0.01
Zambia,Data source,Spirits,,,,0.37,0.35,0.26,0.29,0.29,0.27,0.27,0.25,0.26,0.24,0.20
Zambia,Data source,Other alcoholic beverages,,,,1.67,1.69,1.49,1.42,1.74,1.62,1.68,1.60,1.67,1.83,1.90
Zimbabwe,Data source,All types,,,,3.85,4.59,3.49,3.81,4.51,3.82,4.36,4.06,4.43,1.72,1.68
Zimbabwe,Data source,Beer,,,,0.53,1.09,1.47,0.88,1.09,0.96,1.14,0.88,1.16,0.74,0.67
Zimbabwe,Data source,Wine,,,,0.10,0.08,0.03,0.01,0.01,0.19,0.20,0.24,0.28,0.03,0.03
Zimbabwe,Data source,Spirits,,,,0.31,0.31,0.31,0.31,0.31,0.06,0.19,0.19,0.19,0.19,0.19
Zimbabwe,Data source,Other alcoholic beverages,,,,2.91,3.11,1.67,2.61,3.09,2.61,2.83,2.76,2.80,0.76,0.79